iter	Passed	Remaining
583	3979	252
584	3981	245
585	3983	237
586	3985	230
587	3986	223
588	3988	216
589	3990	209
590	3991	202
591	3994	195
592	3995	188
593	3997	181
594	3999	174
595	4001	167
596	4002	160
597	4005	154
598	4007	147
599	4009	140
600	4011	133
601	4013	126
602	4014	119
603	4016	113
604	4018	106
605	4020	99
606	4021	92
607	4023	86
608	4025	79
609	4027	72
610	4029	65
611	4031	59
612	4034	52
613	4036	46
614	4037	39
615	4039	32
616	4041	26
617	4042	19
618	4044	13
619	4045	6
620	4047	0
